"NA_L3CODE","dams","connectedmiles"
"10.2.4",110,23.47163914846348
"15.4.1",98,7.96140087688828
"8.3.1",231,7.14405595281519
"8.3.2",1080,29.048478775680618
"8.3.3",1358,28.404481269603014
"8.3.4",26529,5.253388355110581
"8.3.5",29691,5.088359630589703
"8.3.6",1739,7.673248450778558
"8.3.7",1599,38.46200810689566
"8.3.8",1083,15.890189853142461
"8.4.1",2164,14.969658620065095
"8.4.2",149,18.04427932157047
"8.4.3",85,93.52254069866717
"8.4.4",1775,7.79248720398178
"8.4.5",1573,22.615101357756714
"8.4.6",65,69.58003336009513
"8.4.7",516,26.1632447456086
"8.4.8",253,25.928168955365926
"8.4.9",1833,6.592174309121426
"8.5.1",522,6.306776612825171
"8.5.2",378,72.54169518540532
"8.5.3",1720,8.938894476987066
"9.2.3",480,7.599426481938846
"9.2.4",2796,5.695106416563252
"9.4.1",121,20.137182387169045
"9.4.2",2885,11.391597742288901
"9.4.3",544,18.953031463950033
"9.4.4",62,2.73090323805809
"9.4.5",2996,10.574932213173657
"9.4.6",359,18.155756637502783
"9.4.7",1408,7.239346226209196
"9.5.1",305,20.65891419317768
"9.6.1",644,13.987672817309038
